evt_tx_id,evt_outer_instruction_index,evt_inner_instruction_index,amm,input_mint,output_mint,input_amount,output_amount
37egUj4ekxNtX9dqiRZwynjXFqhwq6XwVyF2GYmffghY41t37zGDnPfySGG1cv5Li2QNQUaW9hLFuwz2pemzZ3ga,3,7,swapNyd8XiQwJ6ianp9snpu4brUqFxadzvHebnAXjJZ,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,309089436,309087564
37egUj4ekxNtX9dqiRZwynjXFqhwq6XwVyF2GYmffghY41t37zGDnPfySGG1cv5Li2QNQUaW9hLFuwz2pemzZ3ga,3,12,whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc,2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,So11111111111111111111111111111111111111112,309087564,3535215137
37egUj4ekxNtX9dqiRZwynjXFqhwq6XwVyF2GYmffghY41t37zGDnPfySGG1cv5Li2QNQUaW9hLFuwz2pemzZ3ga,3,16,SV2EYYJyRz2YhfXwXnhNAevDEui5Q6yrfyo13WtupPF,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,3535215137,309104984
4NKPvfRvcUw6iQWRGvELTeQBpmnmW7TPa2MPJYt19nrW1RLoaso3g8yxUCmg456quMs48jEz7y2HrGXjLg3ETsW8,7,4,ZERor4xhbUycZ6gb9ntrhqscUcZmAbQDjEAtCf4hbZY,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,231000000,231088648
4NKPvfRvcUw6iQWRGvELTeQBpmnmW7TPa2MPJYt19nrW1RLoaso3g8yxUCmg456quMs48jEz7y2HrGXjLg3ETsW8,7,8,BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi,USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,So11111111111111111111111111111111111111112,231088648,2641344503
4NKPvfRvcUw6iQWRGvELTeQBpmnmW7TPa2MPJYt19nrW1RLoaso3g8yxUCmg456quMs48jEz7y2HrGXjLg3ETsW8,7,12,HpNfyc2Saw7RKkQd8nEL4khUcuPhQ7WwY1B2qjx8jxFq,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,2641344503,231019766
4sQcFMHLWjA4xaT4LA9DRsJLhB9sWYv7rJxUgEWBFj8DXgHsJzAPmVFvY8PUVRmwhCvb7nMkpKMV3tVaFz3QLaGF,4,8,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,9B8AyQ1pHM5AKSjFiWtLsWV5L5SSJ5mhZSpfLdnmpump,So11111111111111111111111111111111111111112,164229604919,23118860
4sQcFMHLWjA4xaT4LA9DRsJLhB9sWYv7rJxUgEWBFj8DXgHsJzAPmVFvY8PUVRmwhCvb7nMkpKMV3tVaFz3QLaGF,4,12,9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,23118860,2021977
4sQcFMHLWjA4xaT4LA9DRsJLhB9sWYv7rJxUgEWBFj8DXgHsJzAPmVFvY8PUVRmwhCvb7nMkpKMV3tVaFz3QLaGF,4,17,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,GHXwEFxKNcz7FLgFvYRi1ZAwvKKALdRVUJ8M3Aszmoon,2021977,318686105
pF11J7QDsQ1U4PaXQD9dR7CyvtkNmVfdL2XcKdYvTVUjH8aeAh1jqjTp4HCSsGXayALiAVy55v9HbzuKkeFXW7g,3,4,SV2EYYJyRz2YhfXwXnhNAevDEui5Q6yrfyo13WtupPF,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,444000000,443975486
pF11J7QDsQ1U4PaXQD9dR7CyvtkNmVfdL2XcKdYvTVUjH8aeAh1jqjTp4HCSsGXayALiAVy55v9HbzuKkeFXW7g,3,8,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,So11111111111111111111111111111111111111112,443975486,5074744237
pF11J7QDsQ1U4PaXQD9dR7CyvtkNmVfdL2XcKdYvTVUjH8aeAh1jqjTp4HCSsGXayALiAVy55v9HbzuKkeFXW7g,3,12,SV2EYYJyRz2YhfXwXnhNAevDEui5Q6yrfyo13WtupPF,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,5074744237,444006986
tf3x6XX1GSTs3iuhFPdHMYkaqCCeLMkAt7gBdNUPDo4TUc8k62MQT8RC7iGJJJyRpdGwEat1AqYYApiiEmJoy8B,4,5,HpNfyc2Saw7RKkQd8nEL4khUcuPhQ7WwY1B2qjx8jxFq,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,So11111111111111111111111111111111111111112,1891300,442192759
tf3x6XX1GSTs3iuhFPdHMYkaqCCeLMkAt7gBdNUPDo4TUc8k62MQT8RC7iGJJJyRpdGwEat1AqYYApiiEmJoy8B,4,9,SV2EYYJyRz2YhfXwXnhNAevDEui5Q6yrfyo13WtupPF,So11111111111111111111111111111111111111112,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,442192759,38668020
tf3x6XX1GSTs3iuhFPdHMYkaqCCeLMkAt7gBdNUPDo4TUc8k62MQT8RC7iGJJJyRpdGwEat1AqYYApiiEmJoy8B,5,5,REALQqNEomY6cQGZJUGwywTBD2UmDT32rZcNnfxQ5N2,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,38668484,1891373
