week,category,mapping_method,final_routes,share_of_final_routes_pct
2025-12-29,Native Solana,manual,1679509,36.220000000000000
2025-12-29,Stablecoin,manual,1481812,31.960000000000000
2025-12-29,Meme Coin,suffix,520924,11.230000000000000
2025-12-29,Unmapped,unmapped,483289,10.420000000000000
2025-12-29,Meme Coin,manual,243831,5.260000000000000
2025-12-29,Cross-Chain Asset,manual,182894,3.940000000000000
2025-12-29,Liquid Staking,manual,37640,0.810000000000000
2025-12-29,Tokenized RWA,manual,6790,0.150000000000000
2026-01-05,Native Solana,manual,2921810,34.740000000000000
2026-01-05,Stablecoin,manual,2549752,30.320000000000000
2026-01-05,Unmapped,unmapped,942230,11.200000000000000
2026-01-05,Meme Coin,suffix,883276,10.500000000000000
2026-01-05,Meme Coin,manual,686367,8.160000000000000
2026-01-05,Cross-Chain Asset,manual,340588,4.050000000000000
2026-01-05,Liquid Staking,manual,70117,0.830000000000000
2026-01-05,Tokenized RWA,manual,15628,0.190000000000000
2026-01-12,Native Solana,manual,3177831,34.860000000000000
2026-01-12,Stablecoin,manual,2524942,27.700000000000000
2026-01-12,Unmapped,unmapped,1318344,14.460000000000000
2026-01-12,Meme Coin,suffix,1051122,11.530000000000000
2026-01-12,Meme Coin,manual,674977,7.400000000000000
2026-01-12,Cross-Chain Asset,manual,299552,3.290000000000000
2026-01-12,Liquid Staking,manual,50407,0.550000000000000
2026-01-12,Tokenized RWA,manual,18560,0.200000000000000
2026-01-19,Native Solana,manual,3971274,36.140000000000000
2026-01-19,Stablecoin,manual,3064470,27.890000000000000
2026-01-19,Meme Coin,manual,1363766,12.410000000000000
2026-01-19,Unmapped,unmapped,1146687,10.440000000000000
2026-01-19,Meme Coin,suffix,1007921,9.170000000000000
2026-01-19,Cross-Chain Asset,manual,353570,3.220000000000000
2026-01-19,Liquid Staking,manual,45121,0.410000000000000
2026-01-19,Tokenized RWA,manual,34290,0.310000000000000
2026-01-26,Native Solana,manual,4050596,36.720000000000000
2026-01-26,Stablecoin,manual,3237250,29.350000000000000
2026-01-26,Meme Coin,suffix,1372770,12.450000000000000
2026-01-26,Unmapped,unmapped,915445,8.300000000000000
2026-01-26,Meme Coin,manual,909725,8.250000000000000
2026-01-26,Cross-Chain Asset,manual,380926,3.450000000000000
2026-01-26,Liquid Staking,manual,88877,0.810000000000000
2026-01-26,Tokenized RWA,manual,74892,0.680000000000000
2026-02-02,Native Solana,manual,4169060,37.530000000000000
2026-02-02,Stablecoin,manual,2986909,26.890000000000000
2026-02-02,Meme Coin,suffix,1439895,12.960000000000000
2026-02-02,Unmapped,unmapped,1029285,9.270000000000000
2026-02-02,Meme Coin,manual,850171,7.650000000000000
2026-02-02,Cross-Chain Asset,manual,438039,3.940000000000000
2026-02-02,Liquid Staking,manual,150230,1.350000000000000
2026-02-02,Tokenized RWA,manual,45446,0.410000000000000
2026-02-09,Native Solana,manual,3308559,37.700000000000000
2026-02-09,Stablecoin,manual,1968631,22.430000000000000
2026-02-09,Meme Coin,suffix,1454492,16.570000000000000
2026-02-09,Unmapped,unmapped,922784,10.520000000000000
2026-02-09,Meme Coin,manual,771764,8.790000000000000
2026-02-09,Cross-Chain Asset,manual,236114,2.690000000000000
2026-02-09,Liquid Staking,manual,89470,1.020000000000000
2026-02-09,Tokenized RWA,manual,23753,0.270000000000000
2026-02-16,Native Solana,manual,3042651,38.340000000000000
2026-02-16,Stablecoin,manual,1579629,19.900000000000000
2026-02-16,Meme Coin,suffix,1402541,17.670000000000000
2026-02-16,Meme Coin,manual,877515,11.060000000000000
2026-02-16,Unmapped,unmapped,754327,9.500000000000000
2026-02-16,Cross-Chain Asset,manual,196928,2.480000000000000
2026-02-16,Liquid Staking,manual,70743,0.890000000000000
2026-02-16,Tokenized RWA,manual,12503,0.160000000000000
2026-02-23,Native Solana,manual,3625002,36.790000000000000
2026-02-23,Stablecoin,manual,2210111,22.430000000000000
2026-02-23,Meme Coin,suffix,1458329,14.800000000000000
2026-02-23,Meme Coin,manual,1440591,14.620000000000000
2026-02-23,Unmapped,unmapped,806630,8.190000000000000
2026-02-23,Cross-Chain Asset,manual,217528,2.210000000000000
2026-02-23,Liquid Staking,manual,61648,0.630000000000000
2026-02-23,Tokenized RWA,manual,33974,0.340000000000000
2026-03-02,Native Solana,manual,3594947,36.770000000000000
2026-03-02,Stablecoin,manual,2738626,28.010000000000000
2026-03-02,Meme Coin,suffix,1293900,13.240000000000000
2026-03-02,Meme Coin,manual,1153723,11.800000000000000
2026-03-02,Unmapped,unmapped,742197,7.590000000000000
2026-03-02,Cross-Chain Asset,manual,205538,2.100000000000000
2026-03-02,Liquid Staking,manual,23749,0.240000000000000
2026-03-02,Tokenized RWA,manual,23024,0.240000000000000
2026-03-09,Stablecoin,manual,3494719,36.720000000000000
2026-03-09,Native Solana,manual,3176804,33.380000000000000
2026-03-09,Meme Coin,suffix,1204477,12.660000000000000
2026-03-09,Unmapped,unmapped,819883,8.620000000000000
2026-03-09,Meme Coin,manual,649134,6.820000000000000
2026-03-09,Cross-Chain Asset,manual,133883,1.410000000000000
2026-03-09,Tokenized RWA,manual,20847,0.220000000000000
2026-03-09,Liquid Staking,manual,16882,0.180000000000000
2026-03-16,Stablecoin,manual,2946321,36.550000000000000
2026-03-16,Native Solana,manual,2514688,31.200000000000000
2026-03-16,Meme Coin,suffix,1096089,13.600000000000000
2026-03-16,Meme Coin,manual,714911,8.870000000000000
2026-03-16,Unmapped,unmapped,674505,8.370000000000000
2026-03-16,Cross-Chain Asset,manual,81906,1.020000000000000
2026-03-16,Tokenized RWA,manual,23316,0.290000000000000
2026-03-16,Liquid Staking,manual,8951,0.110000000000000
2026-03-23,Native Solana,manual,2781932,33.650000000000000
2026-03-23,Stablecoin,manual,2771117,33.520000000000000
2026-03-23,Meme Coin,suffix,1131023,13.680000000000000
2026-03-23,Unmapped,unmapped,806650,9.760000000000000
2026-03-23,Meme Coin,manual,661902,8.010000000000000
2026-03-23,Cross-Chain Asset,manual,83116,1.010000000000000
2026-03-23,Tokenized RWA,manual,22569,0.270000000000000
2026-03-23,Liquid Staking,manual,6896,0.080000000000000
2026-03-23,Other,manual,1052,0.010000000000000
2026-03-30,Native Solana,manual,2447648,34.620000000000000
2026-03-30,Stablecoin,manual,2400285,33.950000000000000
2026-03-30,Meme Coin,suffix,910037,12.870000000000000
2026-03-30,Unmapped,unmapped,641445,9.070000000000000
2026-03-30,Meme Coin,manual,414915,5.870000000000000
2026-03-30,Cross-Chain Asset,manual,202712,2.870000000000000
2026-03-30,Tokenized RWA,manual,31835,0.450000000000000
2026-03-30,Liquid Staking,manual,14605,0.210000000000000
2026-03-30,Other,manual,7538,0.110000000000000
2026-04-06,Native Solana,manual,3857786,50.000000000000000
2026-04-06,Stablecoin,manual,1598450,20.720000000000000
2026-04-06,Meme Coin,suffix,840842,10.900000000000000
2026-04-06,Unmapped,unmapped,783426,10.150000000000000
2026-04-06,Meme Coin,manual,337106,4.370000000000000
2026-04-06,Cross-Chain Asset,manual,249753,3.240000000000000
2026-04-06,Tokenized RWA,manual,27628,0.360000000000000
2026-04-06,Liquid Staking,manual,11234,0.150000000000000
2026-04-06,Other,manual,9425,0.120000000000000
2026-04-13,Native Solana,manual,4975079,51.570000000000000
2026-04-13,Stablecoin,manual,2325892,24.110000000000000
2026-04-13,Meme Coin,suffix,610110,6.320000000000000
2026-04-13,Unmapped,unmapped,608322,6.310000000000000
2026-04-13,Meme Coin,manual,499970,5.180000000000000
2026-04-13,Cross-Chain Asset,manual,333206,3.450000000000000
2026-04-13,Tokenized RWA,manual,262855,2.720000000000000
2026-04-13,Liquid Staking,manual,22276,0.230000000000000
2026-04-13,Other,manual,9100,0.090000000000000
2026-04-20,Native Solana,manual,2870803,41.300000000000000
2026-04-20,Stablecoin,manual,2027520,29.170000000000000
2026-04-20,Unmapped,unmapped,768624,11.060000000000000
2026-04-20,Meme Coin,suffix,599696,8.630000000000000
2026-04-20,Meme Coin,manual,397987,5.730000000000000
2026-04-20,Cross-Chain Asset,manual,239767,3.450000000000000
2026-04-20,Tokenized RWA,manual,19853,0.290000000000000
2026-04-20,Liquid Staking,manual,18267,0.260000000000000
2026-04-20,Other,manual,8472,0.120000000000000
2026-04-27,Native Solana,manual,2573977,36.820000000000000
2026-04-27,Stablecoin,manual,2217962,31.730000000000000
2026-04-27,Meme Coin,suffix,778602,11.140000000000000
2026-04-27,Unmapped,unmapped,718705,10.280000000000000
2026-04-27,Meme Coin,manual,386205,5.520000000000000
2026-04-27,Cross-Chain Asset,manual,268858,3.850000000000000
2026-04-27,Liquid Staking,manual,23991,0.340000000000000
2026-04-27,Tokenized RWA,manual,13817,0.200000000000000
2026-04-27,Other,manual,8094,0.120000000000000
2026-05-04,Native Solana,manual,3763658,42.970000000000000
2026-05-04,Stablecoin,manual,2861049,32.670000000000000
2026-05-04,Meme Coin,suffix,708666,8.090000000000000
2026-05-04,Unmapped,unmapped,637631,7.280000000000000
2026-05-04,Meme Coin,manual,465688,5.320000000000000
2026-05-04,Cross-Chain Asset,manual,267616,3.060000000000000
2026-05-04,Liquid Staking,manual,23468,0.270000000000000
2026-05-04,Tokenized RWA,manual,16577,0.190000000000000
2026-05-04,Other,manual,14390,0.160000000000000
2026-05-11,Native Solana,manual,3104525,39.320000000000000
2026-05-11,Stablecoin,manual,2871337,36.360000000000000
2026-05-11,Meme Coin,suffix,754716,9.560000000000000
2026-05-11,Unmapped,unmapped,582547,7.380000000000000
2026-05-11,Meme Coin,manual,345503,4.380000000000000
2026-05-11,Cross-Chain Asset,manual,178846,2.260000000000000
2026-05-11,Liquid Staking,manual,22230,0.280000000000000
