token_mint,routes_as_intermediate,share_of_routes_with_intermediate_pct
So11111111111111111111111111111111111111112,80527620,68.510000000000000
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,69484526,59.120000000000000
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,21471681,18.270000000000000
USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,13986161,11.900000000000000
cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,4217544,3.590000000000000
27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,3239738,2.760000000000000
J1toso1uCk3RLmjorhTtrVwY9HJ7X8V9yYac6Y7kGCPn,2616077,2.230000000000000
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,2482598,2.110000000000000
9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump,2461874,2.090000000000000
2u1tszSeqZ3qBWF3uNGPFc8TzMk2tdiwknnRMWGWjGWH,2315075,1.970000000000000
pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,2154384,1.830000000000000
3NZ9JMVBmGAqocybic2c7LQCJScmgsAZ6vQqTDzcqmJh,2042081,1.740000000000000
JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,1851419,1.580000000000000
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,1262379,1.070000000000000
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,1254318,1.070000000000000
98sMhvDwXj1RQi5c5Mndm3vPe9cBqPrbLaufMXFNMh5g,1058105,0.900000000000000
A7bdiYdS5GjqGFtxf17ppRHtDKPkkRqbKtR27dxvQXaS,1014697,0.860000000000000
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,879545,0.750000000000000
CtzPWv73Sn1dMGVU3ZtLv9yWSyUAanBni19YWDaznnkn,790368,0.670000000000000
2b1kV6DkPAnxd5ixfnxCpjxmKwqjjaYmCZfHsFu24GXo,720339,0.610000000000000
