dex_name,dex_program,swap_events,user_swaps,distinct_tokens,traders,pct_of_swap_events
PumpSwap,pAMMBay6oceH9fJKBRHGP5D4bD4sWpmSwMn52FMfXEA,44700990,43476098,128432,3801100,9.608185476861471
HumidiFi,9H6tua7jkLhdm3w8BvgpTn5LZNU7g4ZynDmCiNN3q6Rp,43797559,38288446,29,704368,9.413998891429103
Orca Whirlpool,whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc,40473807,33907611,7931,886187,8.699580134817912
BisonFi,BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi,34003633,31229088,11,644824,7.308858545439988
Meteora DLMM,LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo,31900461,29123135,7668,1052495,6.856795477804535
Raydium CLMM,CAMMCzo5YL8w4VFF8KVHrK22GGUsp5VTaW7grrKgrWqK,28236305,26883372,15792,559995,6.069209107476835
AlphaQ,ALPHAQmeA7bjrVuccPsYPiCvsi428SNwte66Srvs4pHA,26093354,23970360,34,322415,5.608595803927501
SolFi V2,SV2EYYJyRz2YhfXwXnhNAevDEui5Q6yrfyo13WtupPF,26063827,23714847,11,970335,5.602249168370317
Tessera V,TessVdML9pBGgG9yGks7o4HewRaXVAMuoVj4x83GLQH,25491665,23835521,14,577225,5.479266688143101
GoonFi V2,goonuddtQRrWqqn5nFyczVKaie28f3kDkHWkHtURSLE,20236281,18733903,24,324429,4.349656265104816
PancakeSwap,HpNfyc2Saw7RKkQd8nEL4khUcuPhQ7WwY1B2qjx8jxFq,18854893,17200962,191,267717,4.052735948138442
Meteora DAMM v2,cpamdpZCGKUy5JxQXB4dcpGPiikHawvSWAd6mEn1sGG,18849826,16954233,308772,770152,4.051646829624260
Raydium AMM v4,675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,18811554,17298028,28979,294826,4.043420513505301
Manifest,MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms,13474047,13177947,169,223224,2.896158288663156
ZeroFi,ZERor4xhbUycZ6gb9ntrhqscUcZmAbQDjEAtCf4hbZY,10878031,11028780,28,345722,2.338161626197739
Aquifer,AQU1FRd7papthgdrwPTTq5JacJh8YtwEXaBfKU3bTz45,8507723,8531489,37,202891,1.828679422307208
Scorch,SCoRcH8c2dpjvcJD6FiPbCSQyQgu3PcUAWj2Xxx3mqn,7555746,7547172,18,213864,1.624058191643052
Raydium CPMM,CPMMoo8L3F4NbTegBCKVNunggL7H1ZpdTHKxQB5qKP1C,6766230,6291823,18953,484887,1.454356890509682
Quantum,QuaNtZsgYRe5Z9Bk4LZ4cTD9tbkVoyCNf1R2BN9bBDv,5566188,5441695,6,231215,1.196415710324997
GoonFi,goonERTdGsjnkZqWuVjs73BZ3Pb9qoCUdBUL17BnS5j,5432451,5150087,4,157239,1.167669816752640
Unmapped,6EF8rrecthR5Dkzon8Nwu78hRvfCKubJ14M5uBEwF6P,4916765,4896538,499637,505224,1.056826483398707
Unmapped,REALQqNEomY6cQGZJUGwywTBD2UmDT32rZcNnfxQ5N2,4140539,4102728,107,68817,0.889981780854932
Unmapped,swapNyd8XiQwJ6ianp9snpu4brUqFxadzvHebnAXjJZ,2807670,2657084,23,87433,0.603490305646914
Unmapped,Eo7WjKq67rjJQSZxS6z3YkapzY3eMj6Xy8X5EQVn5UaB,2291026,2001782,3478,46395,0.492441056457855
Unmapped,DEXYosS6oEGvk8uCDayvwEZz4qEyDJRf9nFgYCaqPMTm,2092442,2070922,4,90113,0.449756724304651
Unmapped,SoLFiHG9TfgtdUXUjWAxi3LtvYuFyDLVhBWxdMZxyCe,2004454,2022773,4,27297,0.430844279105158
Unmapped,dbcij3LWUppWqq96dh6gJWwBifmcGfLSB5D4DuSMaqN,1705660,1640127,119682,69210,0.366620462778644
Unmapped,fUSioN9YKKSa3CUC2YUc4tPkHJ5Y6XW1yz8y6F7qWz9,1577806,1584662,454,29975,0.339139081584209
Unmapped,HyaB3W9q6XdA5xwpU4XnSZV94htfmbmqJXZcEbRaJutt,1321184,1376934,13,62564,0.283979860872472
Unmapped,FW6zUqn4iKRaeopwwhwsquTY6ABWLLgjxtrC3VPnaWBf,1038394,1077892,3,86764,0.223195999687257
Unmapped,9W959DqEETiGZocYWCQPaJ6sBmUzgfxXfqGeTEdp3aQP,672030,646271,85,25921,0.144448453737047
Unmapped,SSwapUtytfBdBn1b9NUGG6foMVPtcWgpRU32HToDUZr,519441,372447,58,1098,0.111650446047982
Unmapped,FLUX6xBayGxLX9UcimVRxXFMHH6q43mAbRvDzSpCsvfK,435918,422304,2,8301,0.093697723399471
Unmapped,SSwpkEEcbUqx4vtoEByFjSkhKdCT862DNVb52nZg1UZ,435021,423095,45,14614,0.093504919115432
Unmapped,LanMV9sAd7wArD4vJFi2qDdfnVhFxYSUg6eADduJ3uj,433460,437451,28542,50076,0.093169392373645
Unmapped,BSwp6bEBihVLdqJRKGgzjcGLHkcTuzmSo1TQkHepzH8p,372584,368779,44,10110,0.080084494274309
Unmapped,obriQD1zbpyLz95G5n7nJe6a4DPjpFwa5XYPoNm113y,225063,216747,2,7608,0.048375820042887
Unmapped,PERPHjGBqRHArX4DySjwM6UJHiR3sWAatqfdBS2qQJu,210595,202382,5,4635,0.045266018056863
Unmapped,MERLuDFBMmsHnsBPZw2sDQZHvXFMwp8EdjudcU2HKky,193292,182504,22,19102,0.041546851360417
Unmapped,riptK81hDxhe5pW5jSzSM9iRA8azgEgLJ4dXkPtBS7j,192933,192456,7,9403,0.041469686658110
Unmapped,swapFpHZwjELNnjvThjajtiVmkz3yPQEHjLtka2fwHW,186707,185567,40,12431,0.040131448673248
Unmapped,Gswppe6ERWKpUTXvRPfXdzHhiCyJvLadVvXGfdpBqcE1,176483,137863,11,3648,0.037933866733442
Unmapped,PhoeNiXZ8ByJGLkxNfZRnkUfjvmuYqLR89jjFHGqdXY,164773,162173,30,4715,0.035416878811384
Unmapped,SwaPpA9LAaLfeLi3a68M4DjnLqgtticKg6CnyNwgAC8,133857,120840,25,5662,0.028771686787614
Unmapped,stkitrT1Uoy18Dk1fTrgPw8W6MVzoCfYoAFT4MLsmhq,126042,128115,195,7651,0.027091903644071
Unmapped,FUTARELBfJfQ8RDGhg1wdhddq1odMAJUePHFuBYfUxKq,115409,120465,19,4082,0.024806409828935
Unmapped,DjVE6JNiYqPL2QXyCUUh8rNjHrbz9hXHNYt99MQ59qw1,108495,103735,17,5387,0.023320290743272
Unmapped,DSwpgjMvXhtGn6BsbqmacdBZyfLj6jSWf3HJpdJtmg6N,93286,90685,96,1422,0.020051215653043
Unmapped,Dooar9JkhdZ7J3LHN3A7YCuoGRUggXhQaG4kijfLGU2j,83909,72964,4,8288,0.018035690824252
Unmapped,CURVGoZn8zycx6FXwwevgBTB2gVvdbGTEpvMJDbgs2t4,83028,76703,26,3045,0.017846325635581
Unmapped,omnixgS8fnqHfCcTGKWj6JtKjzpJZ1Y5y9pyFkQDkYE,75231,70322,45,3781,0.016170411474327
Unmapped,DecZY86MU5Gj7kppfUCEmd4LbXXuyZH1yHaP2NTqdiZB,61248,60262,5,98,0.013164857066629
Unmapped,5ocnV1qiCgaQR8Jb8xWnVbApfaygJ8tNoZfgPwsgx9kx,59775,60455,79,2797,0.012848245349362
Unmapped,NUMERUNsFCP3kuNmWZuXtm1AaQCPj9uw6Guv2Ekoi5P,53733,56266,7,6441,0.011549556961226
Unmapped,9VX8EKBg6vM6tA68xaDsPkbrx26XConZjkQmhVApUptc,41994,41809,5,3787,0.009026335678814
Unmapped,AMM55ShdkoGRB5jVYPjWziwk8m5MpwyDgsMWHaMSQWH6,41694,41270,12,2564,0.008961852640674
Unmapped,opnb2LAfJYbRMAHHvqjCwQxanZn7ReEHp1k81EohpZb,41463,40727,8,1249,0.008912200701307
Unmapped,jup3YeL8QhtSx1e253b2FDvsMNC87fDrgQZivbrndc9,36667,35276,12,2390,0.007881331864911
