week,category,swap_events,pct_of_week
2025-12-29 00:00:00.000 UTC,Stablecoin,4436967,39.982851491483193
2025-12-29 00:00:00.000 UTC,Native Solana,3977965,35.846645655313177
2025-12-29 00:00:00.000 UTC,Meme Coin,1297045,11.688064755219234
2025-12-29 00:00:00.000 UTC,Unmapped,659845,5.946062849328771
2025-12-29 00:00:00.000 UTC,Cross-Chain Asset,537807,4.846341523856297
2025-12-29 00:00:00.000 UTC,Liquid Staking,162911,1.468040289533147
2025-12-29 00:00:00.000 UTC,Tokenized RWA,24635,0.221993435266183
2026-01-05 00:00:00.000 UTC,Stablecoin,7806687,38.114167028278360
2026-01-05 00:00:00.000 UTC,Native Solana,7368662,35.975621187698146
2026-01-05 00:00:00.000 UTC,Meme Coin,2487995,12.147003843694696
2026-01-05 00:00:00.000 UTC,Unmapped,1273295,6.216539526468999
2026-01-05 00:00:00.000 UTC,Cross-Chain Asset,1102585,5.383091297611176
2026-01-05 00:00:00.000 UTC,Liquid Staking,382820,1.869021445558855
2026-01-05 00:00:00.000 UTC,Tokenized RWA,60332,0.294555670689768
2026-01-12 00:00:00.000 UTC,Stablecoin,8748688,39.409230557445856
2026-01-12 00:00:00.000 UTC,Native Solana,8100929,36.491343466643147
2026-01-12 00:00:00.000 UTC,Meme Coin,2379825,10.720129933925359
2026-01-12 00:00:00.000 UTC,Unmapped,1583049,7.130982728465583
2026-01-12 00:00:00.000 UTC,Cross-Chain Asset,1037005,4.671279754658543
2026-01-12 00:00:00.000 UTC,Liquid Staking,297741,1.341200385178267
2026-01-12 00:00:00.000 UTC,Tokenized RWA,52354,0.235833173683245
2026-01-19 00:00:00.000 UTC,Stablecoin,10812361,41.813121464570537
2026-01-19 00:00:00.000 UTC,Native Solana,9520786,36.818395302948419
2026-01-19 00:00:00.000 UTC,Meme Coin,2896357,11.200673659135052
2026-01-19 00:00:00.000 UTC,Unmapped,1376445,5.322931964101161
2026-01-19 00:00:00.000 UTC,Cross-Chain Asset,937485,3.625403755591671
2026-01-19 00:00:00.000 UTC,Liquid Staking,254743,0.985131739612569
2026-01-19 00:00:00.000 UTC,Tokenized RWA,60598,0.234342114040592
2026-01-26 00:00:00.000 UTC,Stablecoin,12041227,41.887534802420213
2026-01-26 00:00:00.000 UTC,Native Solana,10638320,37.007275025982236
2026-01-26 00:00:00.000 UTC,Meme Coin,3023002,10.516046369924419
2026-01-26 00:00:00.000 UTC,Unmapped,1298759,4.517962564152015
2026-01-26 00:00:00.000 UTC,Cross-Chain Asset,1249730,4.347406528307174
2026-01-26 00:00:00.000 UTC,Liquid Staking,381663,1.327682153595818
2026-01-26 00:00:00.000 UTC,Tokenized RWA,113863,0.396092555618125
2026-02-02 00:00:00.000 UTC,Stablecoin,13768206,42.031451498497432
2026-02-02 00:00:00.000 UTC,Native Solana,11913885,36.370597559055702
2026-02-02 00:00:00.000 UTC,Meme Coin,2926310,8.933412009855752
2026-02-02 00:00:00.000 UTC,Cross-Chain Asset,1788690,5.460496231741984
2026-02-02 00:00:00.000 UTC,Unmapped,1624171,4.958254155390039
2026-02-02 00:00:00.000 UTC,Liquid Staking,615235,1.878183698201354
2026-02-02 00:00:00.000 UTC,Tokenized RWA,120416,0.367604847257738
2026-02-09 00:00:00.000 UTC,Stablecoin,9434865,40.591218808471713
2026-02-09 00:00:00.000 UTC,Native Solana,8610287,37.043671914832854
2026-02-09 00:00:00.000 UTC,Meme Coin,2681958,11.538473948819742
2026-02-09 00:00:00.000 UTC,Unmapped,1301933,5.601251027647985
2026-02-09 00:00:00.000 UTC,Cross-Chain Asset,866447,3.727678113353386
2026-02-09 00:00:00.000 UTC,Liquid Staking,296931,1.277473624902774
2026-02-09 00:00:00.000 UTC,Tokenized RWA,51190,0.220232561971546
2026-02-16 00:00:00.000 UTC,Native Solana,6189869,38.460695816555872
2026-02-16 00:00:00.000 UTC,Stablecoin,5430992,33.745420346399642
2026-02-16 00:00:00.000 UTC,Meme Coin,2602239,16.168988813976279
2026-02-16 00:00:00.000 UTC,Unmapped,1053964,6.548795912417612
2026-02-16 00:00:00.000 UTC,Cross-Chain Asset,568518,3.532481521698878
2026-02-16 00:00:00.000 UTC,Liquid Staking,217231,1.349762880753413
2026-02-16 00:00:00.000 UTC,Tokenized RWA,31199,0.193854708198304
2026-02-23 00:00:00.000 UTC,Native Solana,7170087,37.410599144606855
2026-02-23 00:00:00.000 UTC,Stablecoin,6446988,33.637762520606885
2026-02-23 00:00:00.000 UTC,Meme Coin,3325787,17.352604549616288
2026-02-23 00:00:00.000 UTC,Unmapped,1190638,6.212265059592222
2026-02-23 00:00:00.000 UTC,Cross-Chain Asset,702688,3.666340323586799
2026-02-23 00:00:00.000 UTC,Liquid Staking,259187,1.352332399940645
2026-02-23 00:00:00.000 UTC,Tokenized RWA,70549,0.368096002050306
2026-03-02 00:00:00.000 UTC,Native Solana,7504908,38.318090409234564
2026-03-02 00:00:00.000 UTC,Stablecoin,7193278,36.726989423822115
2026-03-02 00:00:00.000 UTC,Meme Coin,2801329,14.302850599635685
2026-03-02 00:00:00.000 UTC,Unmapped,1092525,5.578145891241970
2026-03-02 00:00:00.000 UTC,Cross-Chain Asset,702431,3.586428316542860
2026-03-02 00:00:00.000 UTC,Liquid Staking,232241,1.185761588913687
2026-03-02 00:00:00.000 UTC,Tokenized RWA,59097,0.301733770609118
2026-03-09 00:00:00.000 UTC,Stablecoin,8569284,41.602159725734872
2026-03-09 00:00:00.000 UTC,Native Solana,7816080,37.945504967407058
2026-03-09 00:00:00.000 UTC,Meme Coin,2229334,10.822970641422484
2026-03-09 00:00:00.000 UTC,Unmapped,1140427,5.536544967997401
2026-03-09 00:00:00.000 UTC,Cross-Chain Asset,592646,2.877177784377069
2026-03-09 00:00:00.000 UTC,Liquid Staking,202753,0.984325258781471
2026-03-09 00:00:00.000 UTC,Tokenized RWA,47647,0.231316654279645
2026-03-16 00:00:00.000 UTC,Stablecoin,7157931,40.167818701436763
2026-03-16 00:00:00.000 UTC,Native Solana,6781271,38.054133812314030
2026-03-16 00:00:00.000 UTC,Meme Coin,2245469,12.600790883803784
2026-03-16 00:00:00.000 UTC,Unmapped,969952,5.443033201227560
2026-03-16 00:00:00.000 UTC,Cross-Chain Asset,454029,2.547852802324391
2026-03-16 00:00:00.000 UTC,Liquid Staking,158894,0.891657852631730
